"Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V
0	0,315	-0,02	-0,02	0,315	 	
0,101	0,315	-0,025	-0,025	0,315	 	
0,201	0,315	-0,015	-0,015	0,315	 	
0,3	0,315	-0,02	-0,02	0,315	 	
0,401	0,315	-0,02	-0,02	0,315	 	
0,5	0,315	-0,025	-0,025	0,315	 	
0,601	0,315	-0,02	-0,02	0,315	 	
0,7	0,45	-0,02	-0,02	0,45	 	
0,8	0,6	-0,02	-0,02	0,6	 	
0,9	0,765	-0,02	-0,02	0,765	 	
1	0,93	-0,02	-0,02	0,93	 	
1,1	1,095	-0,015	-0,015	1,095	 	
1,2	1,245	-0,015	-0,015	1,245	 	
1,3	1,395	-0,02	-0,02	1,395	 	
1,4	1,545	-0,015	-0,015	1,545	 	
1,5	1,71	-0,015	-0,015	1,71	 	
1,6	1,86	-0,015	-0,015	1,86	 	
1,7	2,01	-0,02	-0,02	2,01	 	
1,8	2,175	-0,02	-0,02	2,175	 	
1,9	2,31	-0,02	-0,02	2,31	 	
2	2,475	-0,015	-0,015	2,475	 	
2,1	2,625	-0,015	-0,015	2,625	 	
2,2	2,775	-0,015	-0,015	2,775	 	
2,3	2,925	-0,02	-0,02	2,925	 	
2,4	3,075	-0,015	-0,015	3,075	 	
2,5	3,21	-0,015	-0,015	3,21	 	
2,6	3,36	-0,02	-0,02	3,36	 	
2,7	3,51	-0,02	-0,02	3,51	 	
2,8	3,645	-0,015	-0,015	3,645	 	
2,9	3,795	-0,01	-0,01	3,795	 	
3	3,93	-0,015	-0,015	3,93	 	
3,1	4,08	-0,015	-0,015	4,08	 	
3,2	4,215	-0,02	-0,02	4,215	 	
3,3	4,365	-0,01	-0,01	4,365	 	
3,4	4,5	-0,015	-0,015	4,5	 	
3,5	4,65	-0,01	-0,01	4,65	 	
3,6	4,785	-0,01	-0,01	4,785	 	
3,7	4,92	-0,01	-0,01	4,92	 	
3,8	5,055	-0,01	-0,01	5,055	 	
3,9	5,19	0	0	5,19	 	
4	5,325	0	0	5,325	 	
4,1	5,46	-0,005	-0,005	5,46	 	
4,2	5,595	0,005	0,005	5,595	 	
4,3	5,73	0,005	0,005	5,73	 	
4,4	5,865	0,01	0,01	5,865	 	
4,5	5,985	0,01	0,01	5,985	 	
4,6	6,12	0,01	0,01	6,12	 	
4,7	6,255	0,01	0,01	6,255	 	
4,8	6,39	0,015	0,015	6,39	 	
4,9	6,525	0,015	0,015	6,525	 	
5	6,645	0,01	0,01	6,645	 	
5,1	6,78	0,01	0,01	6,78	 	
5,2	6,9	0	0	6,9	 	
5,3	7,035	0,005	0,005	7,035	 	
5,4	7,17	0,005	0,005	7,17	 	
5,5	7,29	0,005	0,005	7,29	 	
5,6	7,41	0	0	7,41	 	
5,7	7,545	0	0	7,545	 	
5,8	7,665	0	0	7,665	 	
5,9	7,785	0,005	0,005	7,785	 	
6	7,905	0,005	0,005	7,905	 	
6,1	8,025	0,005	0,005	8,025	 	
6,2	8,145	0,005	0,005	8,145	 	
6,3	8,28	0	0	8,28	 	
6,4	8,4	0,01	0,01	8,4	 	
6,5	8,52	0,015	0,015	8,52	 	
6,6	8,64	0,015	0,015	8,64	 	
6,7	8,76	0,02	0,02	8,76	 	
6,8	8,865	0,02	0,02	8,865	 	
6,9	9	0,025	0,025	9	 	
7	9,105	0,025	0,025	9,105	 	
7,1	9,225	0,03	0,03	9,225	 	
7,2	9,345	0,035	0,035	9,345	 	
7,3	9,465	0,04	0,04	9,465	 	
7,4	9,57	0,045	0,045	9,57	 	
7,5	9,69	0,05	0,05	9,69	 	
7,6	9,795	0,055	0,055	9,795	 	
7,7	9,915	0,07	0,07	9,915	 	
7,8	10,02	0,07	0,07	10,02	 	
7,9	10,14	0,08	0,08	10,14	 	
8	10,245	0,09	0,09	10,245	 	
8,1	10,365	0,105	0,105	10,365	 	
8,2	10,47	0,11	0,11	10,47	 	
8,3	10,59	0,12	0,12	10,59	 	
8,4	10,695	0,13	0,13	10,695	 	
8,5	10,8	0,14	0,14	10,8	 	
8,6	10,92	0,15	0,15	10,92	 	
8,7	11,025	0,145	0,145	11,025	 	
8,8	11,13	0,15	0,15	11,13	 	
8,9	11,235	0,155	0,155	11,235	 	
9	11,355	0,14	0,14	11,355	 	
9,1	11,445	0,13	0,13	11,445	 	
9,2	11,55	0,12	0,12	11,55	 	
9,3	11,655	0,11	0,11	11,655	 	
9,4	11,76	0,1	0,1	11,76	 	
9,5	11,865	0,09	0,09	11,865	 	
9,6	11,97	0,085	0,085	11,97	 	
9,7	12,075	0,075	0,075	12,075	 	
9,8	12,18	0,065	0,065	12,18	 	
9,9	12,27	0,06	0,06	12,27	 	
10	12,375	0,06	0,06	12,375	 	
10,1	12,48	0,055	0,055	12,48	 	
10,2	12,57	0,06	0,06	12,57	 	
10,3	12,675	0,055	0,055	12,675	 	
10,4	12,78	0,055	0,055	12,78	 	
10,5	12,87	0,06	0,06	12,87	 	
10,6	12,975	0,06	0,06	12,975	 	
10,7	13,08	0,065	0,065	13,08	 	
10,8	13,17	0,07	0,07	13,17	 	
10,9	13,26	0,08	0,08	13,26	 	
11	13,365	0,08	0,08	13,365	 	
11,1	13,455	0,095	0,095	13,455	 	
11,2	13,56	0,095	0,095	13,56	 	
11,3	13,65	0,1	0,1	13,65	 	
11,4	13,74	0,11	0,11	13,74	 	
11,5	13,83	0,12	0,12	13,83	 	
11,6	13,935	0,13	0,13	13,935	 	
11,7	14,025	0,145	0,145	14,025	 	
11,8	14,115	0,155	0,155	14,115	 	
11,9	14,22	0,165	0,165	14,22	 	
12	14,295	0,175	0,175	14,295	 	
12,1	14,4	0,185	0,185	14,4	 	
12,2	14,49	0,205	0,205	14,49	 	
12,3	14,565	0,22	0,22	14,565	 	
12,4	14,67	0,23	0,23	14,67	 	
12,5	14,745	0,245	0,245	14,745	 	
12,6	14,85	0,265	0,265	14,85	 	
12,7	14,925	0,285	0,285	14,925	 	
12,8	15,015	0,295	0,295	15,015	 	
12,9	15,105	0,315	0,315	15,105	 	
13	15,195	0,34	0,34	15,195	 	
13,1	15,285	0,36	0,36	15,285	 	
13,2	15,375	0,38	0,38	15,375	 	
13,3	15,465	0,395	0,395	15,465	 	
13,4	15,555	0,415	0,415	15,555	 	
13,5	15,63	0,445	0,445	15,63	 	
13,6	15,72	0,455	0,455	15,72	 	
13,7	15,81	0,46	0,46	15,81	 	
13,8	15,885	0,47	0,47	15,885	 	
13,9	15,975	0,465	0,465	15,975	 	
14	16,065	0,46	0,46	16,065	 	
14,1	16,14	0,445	0,445	16,14	 	
14,2	16,23	0,435	0,435	16,23	 	
14,3	16,305	0,43	0,43	16,305	 	
14,4	16,395	0,405	0,405	16,395	 	
14,5	16,47	0,39	0,39	16,47	 	
14,6	16,545	0,375	0,375	16,545	 	
14,7	16,62	0,355	0,355	16,62	 	
14,8	16,71	0,33	0,33	16,71	 	
14,9	16,785	0,31	0,31	16,785	 	
15	16,875	0,29	0,29	16,875	 	
15,1	16,95	0,275	0,275	16,95	 	
15,2	17,04	0,26	0,26	17,04	 	
15,3	17,115	0,25	0,25	17,115	 	
15,4	17,19	0,24	0,24	17,19	 	
15,5	17,265	0,225	0,225	17,265	 	
15,6	17,34	0,215	0,215	17,34	 	
15,7	17,43	0,215	0,215	17,43	 	
15,8	17,49	0,2	0,2	17,49	 	
15,9	17,565	0,205	0,205	17,565	 	
16	17,64	0,195	0,195	17,64	 	
16,1	17,715	0,205	0,205	17,715	 	
16,2	17,79	0,21	0,21	17,79	 	
16,3	17,865	0,21	0,21	17,865	 	
16,4	17,94	0,22	0,22	17,94	 	
16,5	18,015	0,215	0,215	18,015	 	
16,6	18,09	0,225	0,225	18,09	 	
16,7	18,165	0,235	0,235	18,165	 	
16,8	18,24	0,25	0,25	18,24	 	
16,9	18,315	0,26	0,26	18,315	 	
17	18,39	0,27	0,27	18,39	 	
17,1	18,465	0,28	0,28	18,465	 	
17,2	18,525	0,29	0,29	18,525	 	
17,3	18,615	0,305	0,305	18,615	 	
17,4	18,675	0,32	0,32	18,675	 	
17,5	18,735	0,335	0,335	18,735	 	
17,6	18,81	0,35	0,35	18,81	 	
17,7	18,885	0,365	0,365	18,885	 	
17,8	18,945	0,385	0,385	18,945	 	
17,9	19,035	0,4	0,4	19,035	 	
18	19,095	0,42	0,42	19,095	 	
18,1	19,17	0,44	0,44	19,17	 	
18,2	19,23	0,455	0,455	19,23	 	
18,3	19,29	0,48	0,48	19,29	 	
18,4	19,365	0,505	0,505	19,365	 	
18,5	19,44	0,525	0,525	19,44	 	
18,6	19,515	0,55	0,55	19,515	 	
18,7	19,575	0,575	0,575	19,575	 	
18,8	19,635	0,595	0,595	19,635	 	
18,9	19,71	0,625	0,625	19,71	 	
19	19,77	0,655	0,655	19,77	 	
19,1	19,83	0,675	0,675	19,83	 	
19,2	19,89	0,705	0,705	19,89	 	
19,3	19,965	0,735	0,735	19,965	 	
19,4	20,025	0,76	0,76	20,025	 	
19,5	20,085	0,79	0,79	20,085	 	
19,6	20,16	0,815	0,815	20,16	 	
19,7	20,22	0,845	0,845	20,22	 	
19,8	20,28	0,875	0,875	20,28	 	
19,9	20,34	0,905	0,905	20,34	 	
20	20,415	0,93	0,93	20,415	 	
20,1	20,475	0,955	0,955	20,475	 	
20,2	20,535	0,975	0,975	20,535	 	
20,3	20,595	0,985	0,985	20,595	 	
20,4	20,655	1,01	1,01	20,655	 	
20,5	20,73	1,015	1,015	20,73	 	
20,6	20,79	1,025	1,025	20,79	 	
20,7	20,835	1,025	1,025	20,835	 	
20,8	20,91	1,03	1,03	20,91	 	
20,9	20,955	1,02	1,02	20,955	 	
21	21,03	1,015	1,015	21,03	 	
21,1	21,09	1,01	1,01	21,09	 	
21,2	21,15	1	1	21,15	 	
21,3	21,195	0,985	0,985	21,195	 	
21,4	21,255	0,97	0,97	21,255	 	
21,5	21,315	0,955	0,955	21,315	 	
21,6	21,375	0,94	0,94	21,375	 	
21,7	21,435	0,915	0,915	21,435	 	
21,8	21,495	0,895	0,895	21,495	 	
21,9	21,555	0,865	0,865	21,555	 	
22	21,6	0,84	0,84	21,6	 	
22,1	21,66	0,82	0,82	21,66	 	
22,2	21,72	0,8	0,8	21,72	 	
22,3	21,78	0,775	0,775	21,78	 	
22,4	21,84	0,755	0,755	21,84	 	
22,5	21,885	0,74	0,74	21,885	 	
22,6	21,945	0,71	0,71	21,945	 	
22,7	22,005	0,695	0,695	22,005	 	
22,8	22,065	0,675	0,675	22,065	 	
22,9	22,11	0,66	0,66	22,11	 	
23	22,17	0,65	0,65	22,17	 	
23,1	22,215	0,63	0,63	22,215	 	
23,2	22,275	0,62	0,62	22,275	 	
23,3	22,32	0,605	0,605	22,32	 	
23,4	22,38	0,595	0,595	22,38	 	
23,5	22,425	0,59	0,59	22,425	 	
23,6	22,485	0,585	0,585	22,485	 	
23,7	22,53	0,58	0,58	22,53	 	
23,8	22,59	0,575	0,575	22,59	 	
23,9	22,65	0,58	0,58	22,65	 	
24	22,695	0,575	0,575	22,695	 	
24,1	22,755	0,575	0,575	22,755	 	
24,2	22,8	0,575	0,575	22,8	 	
24,3	22,86	0,585	0,585	22,86	 	
24,4	22,905	0,585	0,585	22,905	 	
24,5	22,95	0,595	0,595	22,95	 	
24,6	23,01	0,6	0,6	23,01	 	
24,7	23,055	0,605	0,605	23,055	 	
24,8	23,115	0,62	0,62	23,115	 	
24,9	23,16	0,63	0,63	23,16	 	
25	23,205	0,645	0,645	23,205	 	
25,1	23,265	0,67	0,67	23,265	 	
25,2	23,31	0,665	0,665	23,31	 	
25,3	23,355	0,685	0,685	23,355	 	
25,4	23,4	0,7	0,7	23,4	 	
25,5	23,46	0,71	0,71	23,46	 	
25,6	23,505	0,725	0,725	23,505	 	
25,7	23,55	0,75	0,75	23,55	 	
25,8	23,61	0,765	0,765	23,61	 	
25,9	23,64	0,785	0,785	23,64	 	
26	23,685	0,81	0,81	23,685	 	
26,1	23,745	0,83	0,83	23,745	 	
26,2	23,79	0,85	0,85	23,79	 	
26,3	23,835	0,875	0,875	23,835	 	
26,4	23,895	0,905	0,905	23,895	 	
26,5	23,925	0,925	0,925	23,925	 	
26,6	23,985	0,95	0,95	23,985	 	
26,7	24,03	0,98	0,98	24,03	 	
26,8	24,075	1	1	24,075	 	
26,9	24,105	1,03	1,03	24,105	 	
27	24,15	1,055	1,055	24,15	 	
27,1	24,21	1,09	1,09	24,21	 	
27,2	24,255	1,115	1,115	24,255	 	
27,3	24,285	1,15	1,15	24,285	 	
27,4	24,345	1,18	1,18	24,345	 	
27,5	24,375	1,205	1,205	24,375	 	
27,6	24,42	1,245	1,245	24,42	 	
27,701	24,465	1,27	1,27	24,465	 	
27,8	24,525	1,31	1,31	24,525	 	
27,9	24,555	1,345	1,345	24,555	 	
28	24,6	1,375	1,375	24,6	 	
28,1	24,645	1,405	1,405	24,645	 	
28,2	24,69	1,45	1,45	24,69	 	
28,3	24,72	1,49	1,49	24,72	 	
28,4	24,78	1,52	1,52	24,78	 	
28,5	24,81	1,555	1,555	24,81	 	
28,6	24,855	1,595	1,595	24,855	 	
28,7	24,9	1,645	1,645	24,9	 	
28,8	24,945	1,685	1,685	24,945	 	
28,9	24,975	1,735	1,735	24,975	 	
29	25,02	1,78	1,78	25,02	 	
29,1	25,065	1,815	1,815	25,065	 	
29,2	25,095	1,86	1,86	25,095	 	
29,3	25,14	1,905	1,905	25,14	 	
29,4	25,185	1,94	1,94	25,185	 	
29,5	25,23	1,98	1,98	25,23	 	
29,6	25,26	2,025	2,025	25,26	 	
29,7	25,305	2,06	2,06	25,305	 	
29,8	25,35	2,1	2,1	25,35	 	
29,9	25,38	2,13	2,13	25,38	 	
30	25,425	2,15	2,15	25,425	 	
30,1	25,47	2,18	2,18	25,47	 	
30,2	25,5	2,21	2,21	25,5	 	
30,3	25,545	2,23	2,23	25,545	 	
30,4	25,59	2,245	2,245	25,59	 	
30,5	25,635	2,265	2,265	25,635	 	
30,6	25,665	2,285	2,285	25,665	 	
30,7	25,695	2,3	2,3	25,695	 	
30,8	25,74	2,315	2,315	25,74	 	
30,9	25,77	2,325	2,325	25,77	 	
31	25,815	2,33	2,33	25,815	 	
31,1	25,86	2,34	2,34	25,86	 	
31,2	25,89	2,34	2,34	25,89	 	
31,3	25,92	2,335	2,335	25,92	 	
31,4	25,965	2,34	2,34	25,965	 	
31,5	25,995	2,34	2,34	25,995	 	
31,6	26,04	2,335	2,335	26,04	 	
31,7	26,07	2,325	2,325	26,07	 	
31,8	26,1	2,325	2,325	26,1	 	
31,9	26,145	2,31	2,31	26,145	 	
32	26,19	2,305	2,305	26,19	 	
32,1	26,22	2,29	2,29	26,22	 	
32,2	26,25	2,28	2,28	26,25	 	
32,3	26,295	2,265	2,265	26,295	 	
32,4	26,325	2,245	2,245	26,325	 	
32,5	26,355	2,225	2,225	26,355	 	
32,6	26,4	2,2	2,2	26,4	 	
32,7	26,445	2,175	2,175	26,445	 	
32,8	26,475	2,155	2,155	26,475	 	
32,9	26,505	2,14	2,14	26,505	 	
