"Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V
0	0,285	-0,025	-0,025	0,285	 	
0,101	0,285	-0,03	-0,03	0,285	 	
0,2	0,285	-0,025	-0,025	0,285	 	
0,3	0,285	-0,015	-0,015	0,285	 	
0,4	0,285	-0,025	-0,025	0,285	 	
0,5	0,285	-0,02	-0,02	0,285	 	
0,601	0,39	-0,025	-0,025	0,39	 	
0,7	0,54	-0,025	-0,025	0,54	 	
0,8	0,675	-0,02	-0,02	0,675	 	
0,9	0,825	-0,015	-0,015	0,825	 	
1	0,975	-0,02	-0,02	0,975	 	
1,101	1,11	-0,015	-0,015	1,11	 	
1,2	1,26	-0,02	-0,02	1,26	 	
1,3	1,395	-0,02	-0,02	1,395	 	
1,4	1,53	-0,015	-0,015	1,53	 	
1,5	1,68	-0,01	-0,01	1,68	 	
1,6	1,815	-0,02	-0,02	1,815	 	
1,7	1,95	-0,02	-0,02	1,95	 	
1,8	2,085	-0,02	-0,02	2,085	 	
1,9	2,22	-0,02	-0,02	2,22	 	
2	2,355	-0,025	-0,025	2,355	 	
2,1	2,505	-0,02	-0,02	2,505	 	
2,2	2,625	-0,015	-0,015	2,625	 	
2,3	2,775	-0,015	-0,015	2,775	 	
2,4	2,91	-0,015	-0,015	2,91	 	
2,5	3,03	-0,02	-0,02	3,03	 	
2,6	3,165	-0,02	-0,02	3,165	 	
2,7	3,285	-0,02	-0,02	3,285	 	
2,8	3,42	-0,01	-0,01	3,42	 	
2,9	3,555	-0,01	-0,01	3,555	 	
3	3,69	-0,01	-0,01	3,69	 	
3,1	3,81	-0,015	-0,015	3,81	 	
3,2	3,93	-0,005	-0,005	3,93	 	
3,3	4,065	-0,015	-0,015	4,065	 	
3,4	4,185	-0,01	-0,01	4,185	 	
3,5	4,32	-0,005	-0,005	4,32	 	
3,6	4,455	-0,01	-0,01	4,455	 	
3,7	4,56	-0,005	-0,005	4,56	 	
3,8	4,695	-0,005	-0,005	4,695	 	
3,9	4,815	0	0	4,815	 	
4	4,935	-0,005	-0,005	4,935	 	
4,1	5,055	0	0	5,055	 	
4,2	5,19	0,01	0,01	5,19	 	
4,3	5,295	0,01	0,01	5,295	 	
4,4	5,43	0,01	0,01	5,43	 	
4,5	5,535	0,02	0,02	5,535	 	
4,6	5,67	0,015	0,015	5,67	 	
4,7	5,775	0,025	0,025	5,775	 	
4,8	5,895	0,025	0,025	5,895	 	
4,9	6,015	0,035	0,035	6,015	 	
5	6,12	0,035	0,035	6,12	 	
5,1	6,24	0,03	0,03	6,24	 	
5,2	6,36	0,035	0,035	6,36	 	
5,3	6,48	0,03	0,03	6,48	 	
5,4	6,6	0,025	0,025	6,6	 	
5,5	6,705	0,02	0,02	6,705	 	
5,6	6,825	0,02	0,02	6,825	 	
5,7	6,93	0,025	0,025	6,93	 	
5,8	7,05	0,01	0,01	7,05	 	
5,9	7,155	0,015	0,015	7,155	 	
6	7,26	0,015	0,015	7,26	 	
6,1	7,38	0,02	0,02	7,38	 	
6,2	7,485	0,015	0,015	7,485	 	
6,3	7,59	0,015	0,015	7,59	 	
6,4	7,71	0,015	0,015	7,71	 	
6,5	7,815	0,015	0,015	7,815	 	
6,6	7,92	0,02	0,02	7,92	 	
6,7	8,04	0,01	0,01	8,04	 	
6,8	8,13	0,02	0,02	8,13	 	
6,9	8,25	0,025	0,025	8,25	 	
7	8,34	0,025	0,025	8,34	 	
7,1	8,46	0,03	0,03	8,46	 	
7,2	8,565	0,03	0,03	8,565	 	
7,3	8,67	0,035	0,035	8,67	 	
7,4	8,76	0,035	0,035	8,76	 	
7,5	8,865	0,05	0,05	8,865	 	
7,6	8,97	0,05	0,05	8,97	 	
7,7	9,075	0,06	0,06	9,075	 	
7,8	9,18	0,06	0,06	9,18	 	
7,9	9,285	0,065	0,065	9,285	 	
8	9,39	0,075	0,075	9,39	 	
8,1	9,48	0,08	0,08	9,48	 	
8,2	9,57	0,085	0,085	9,57	 	
8,3	9,675	0,095	0,095	9,675	 	
8,4	9,765	0,105	0,105	9,765	 	
8,5	9,87	0,115	0,115	9,87	 	
8,6	9,975	0,125	0,125	9,975	 	
8,7	10,065	0,14	0,14	10,065	 	
8,8	10,155	0,15	0,15	10,155	 	
8,9	10,26	0,16	0,16	10,26	 	
9	10,365	0,17	0,17	10,365	 	
9,1	10,455	0,19	0,19	10,455	 	
9,2	10,545	0,21	0,21	10,545	 	
9,3	10,635	0,23	0,23	10,635	 	
9,4	10,74	0,24	0,24	10,74	 	
9,5	10,83	0,26	0,26	10,83	 	
9,6	10,92	0,275	0,275	10,92	 	
9,7	11,01	0,29	0,29	11,01	 	
9,8	11,1	0,295	0,295	11,1	 	
9,9	11,19	0,305	0,305	11,19	 	
10	11,295	0,305	0,305	11,295	 	
10,1	11,385	0,295	0,295	11,385	 	
10,2	11,46	0,285	0,285	11,46	 	
10,3	11,55	0,275	0,275	11,55	 	
10,4	11,64	0,265	0,265	11,64	 	
10,5	11,745	0,255	0,255	11,745	 	
10,6	11,82	0,245	0,245	11,82	 	
10,7	11,91	0,225	0,225	11,91	 	
10,8	12	0,205	0,205	12	 	
10,9	12,09	0,195	0,195	12,09	 	
11	12,18	0,18	0,18	12,18	 	
11,1	12,255	0,165	0,165	12,255	 	
11,2	12,345	0,16	0,16	12,345	 	
11,3	12,435	0,15	0,15	12,435	 	
11,4	12,51	0,145	0,145	12,51	 	
11,5	12,6	0,14	0,14	12,6	 	
11,6	12,69	0,135	0,135	12,69	 	
11,7	12,765	0,13	0,13	12,765	 	
11,8	12,855	0,13	0,13	12,855	 	
11,9	12,93	0,135	0,135	12,93	 	
12	13,005	0,13	0,13	13,005	 	
12,1	13,095	0,135	0,135	13,095	 	
12,2	13,185	0,14	0,14	13,185	 	
12,3	13,26	0,145	0,145	13,26	 	
12,4	13,35	0,15	0,15	13,35	 	
12,5	13,425	0,155	0,155	13,425	 	
12,6	13,5	0,165	0,165	13,5	 	
12,7	13,59	0,17	0,17	13,59	 	
12,8	13,665	0,18	0,18	13,665	 	
12,9	13,74	0,185	0,185	13,74	 	
13	13,83	0,195	0,195	13,83	 	
13,1	13,905	0,21	0,21	13,905	 	
13,2	13,98	0,225	0,225	13,98	 	
13,3	14,055	0,235	0,235	14,055	 	
13,4	14,13	0,245	0,245	14,13	 	
13,5	14,205	0,255	0,255	14,205	 	
13,6	14,28	0,275	0,275	14,28	 	
13,7	14,355	0,29	0,29	14,355	 	
13,8	14,43	0,305	0,305	14,43	 	
13,9	14,52	0,315	0,315	14,52	 	
14	14,58	0,34	0,34	14,58	 	
14,1	14,655	0,355	0,355	14,655	 	
14,2	14,73	0,37	0,37	14,73	 	
14,3	14,805	0,39	0,39	14,805	 	
14,4	14,88	0,41	0,41	14,88	 	
14,5	14,955	0,43	0,43	14,955	 	
14,6	15,03	0,45	0,45	15,03	 	
14,7	15,105	0,475	0,475	15,105	 	
14,8	15,165	0,495	0,495	15,165	 	
