	
"Tiempo" t / s	"Tensión" U_A1 / V	"Tensión" U_B1 / V	"Intensidad" I / u.a.	"Voltaje acelerador" Vac / V
0	0,315	-0,025	-0,025	0,315	 	
0,101	0,3	-0,025	-0,025	0,3	 	
0,201	0,315	-0,025	-0,025	0,315	 	
0,301	0,315	-0,02	-0,02	0,315	 	
0,401	0,315	-0,02	-0,02	0,315	 	
0,501	0,315	-0,025	-0,025	0,315	 	
0,601	0,315	-0,025	-0,025	0,315	 	
0,701	0,315	-0,025	-0,025	0,315	 	
0,801	0,345	-0,02	-0,02	0,345	 	
0,901	0,51	-0,02	-0,02	0,51	 	
1,001	0,675	-0,025	-0,025	0,675	 	
1,101	0,825	-0,02	-0,02	0,825	 	
1,201	0,99	-0,02	-0,02	0,99	 	
1,301	1,155	-0,025	-0,025	1,155	 	
1,401	1,305	-0,02	-0,02	1,305	 	
1,501	1,47	-0,025	-0,025	1,47	 	
1,601	1,62	-0,025	-0,025	1,62	 	
1,701	1,77	-0,015	-0,015	1,77	 	
1,801	1,935	-0,02	-0,02	1,935	 	
1,901	2,085	-0,02	-0,02	2,085	 	
2,001	2,235	-0,02	-0,02	2,235	 	
2,101	2,385	-0,025	-0,025	2,385	 	
2,201	2,535	-0,01	-0,01	2,535	 	
2,301	2,685	-0,015	-0,015	2,685	 	
2,401	2,835	-0,02	-0,02	2,835	 	
2,501	2,97	-0,02	-0,02	2,97	 	
2,601	3,12	-0,02	-0,02	3,12	 	
2,701	3,27	-0,02	-0,02	3,27	 	
2,801	3,42	-0,02	-0,02	3,42	 	
2,901	3,57	-0,02	-0,02	3,57	 	
3,001	3,705	-0,015	-0,015	3,705	 	
3,101	3,855	-0,015	-0,015	3,855	 	
3,201	3,99	-0,02	-0,02	3,99	 	
3,301	4,125	-0,015	-0,015	4,125	 	
3,401	4,275	-0,01	-0,01	4,275	 	
3,501	4,425	-0,01	-0,01	4,425	 	
3,601	4,56	-0,015	-0,015	4,56	 	
3,701	4,695	-0,015	-0,015	4,695	 	
3,801	4,845	-0,005	-0,005	4,845	 	
3,901	4,965	-0,005	-0,005	4,965	 	
4,001	5,115	-0,01	-0,01	5,115	 	
4,101	5,235	-0,005	-0,005	5,235	 	
4,201	5,385	-0,005	-0,005	5,385	 	
4,301	5,52	-0,005	-0,005	5,52	 	
4,401	5,655	0	0	5,655	 	
4,501	5,775	0,005	0,005	5,775	 	
4,601	5,925	0,01	0,01	5,925	 	
4,701	6,045	0,015	0,015	6,045	 	
4,801	6,18	0,01	0,01	6,18	 	
4,901	6,315	0,01	0,01	6,315	 	
5,001	6,435	0,01	0,01	6,435	 	
5,101	6,57	0,005	0,005	6,57	 	
5,201	6,69	0,005	0,005	6,69	 	
5,301	6,825	0,01	0,01	6,825	 	
5,401	6,96	0,005	0,005	6,96	 	
5,501	7,08	0	0	7,08	 	
5,601	7,215	0	0	7,215	 	
5,701	7,335	0,005	0,005	7,335	 	
5,801	7,455	0	0	7,455	 	
5,901	7,59	0	0	7,59	 	
6,001	7,71	0	0	7,71	 	
6,101	7,83	0,005	0,005	7,83	 	
6,201	7,965	0,005	0,005	7,965	 	
6,301	8,07	0,005	0,005	8,07	 	
6,401	8,205	0	0	8,205	 	
6,501	8,325	0,005	0,005	8,325	 	
6,601	8,445	0,01	0,01	8,445	 	
6,701	8,55	0,01	0,01	8,55	 	
6,801	8,685	0,015	0,015	8,685	 	
6,901	8,79	0,02	0,02	8,79	 	
7,001	8,925	0,025	0,025	8,925	 	
7,101	9,03	0,025	0,025	9,03	 	
7,201	9,15	0,035	0,035	9,15	 	
7,301	9,27	0,03	0,03	9,27	 	
7,401	9,375	0,035	0,035	9,375	 	
7,501	9,495	0,045	0,045	9,495	 	
7,601	9,6	0,045	0,045	9,6	 	
7,701	9,72	0,055	0,055	9,72	 	
7,801	9,825	0,065	0,065	9,825	 	
7,901	9,945	0,065	0,065	9,945	 	
8,001	10,05	0,075	0,075	10,05	 	
8,101	10,17	0,085	0,085	10,17	 	
8,201	10,275	0,095	0,095	10,275	 	
8,301	10,395	0,1	0,1	10,395	 	
8,401	10,515	0,115	0,115	10,515	 	
8,501	10,605	0,12	0,12	10,605	 	
8,601	10,71	0,145	0,145	10,71	 	
8,701	10,83	0,155	0,155	10,83	 	
8,801	10,935	0,155	0,155	10,935	 	
8,901	11,04	0,165	0,165	11,04	 	
9,001	11,16	0,165	0,165	11,16	 	
9,101	11,25	0,16	0,16	11,25	 	
9,201	11,37	0,16	0,16	11,37	 	
9,301	11,46	0,15	0,15	11,46	 	
9,401	11,565	0,135	0,135	11,565	 	
9,501	11,685	0,14	0,14	11,685	 	
9,601	11,775	0,125	0,125	11,775	 	
9,701	11,88	0,12	0,12	11,88	 	
9,801	11,985	0,11	0,11	11,985	 	
9,901	12,09	0,095	0,095	12,09	 	
10,001	12,195	0,085	0,085	12,195	 	
10,101	12,3	0,085	0,085	12,3	 	
10,201	12,39	0,075	0,075	12,39	 	
10,301	12,495	0,07	0,07	12,495	 	
10,401	12,585	0,07	0,07	12,585	 	
10,501	12,69	0,065	0,065	12,69	 	
10,601	12,78	0,065	0,065	12,78	 	
10,701	12,885	0,075	0,075	12,885	 	
10,801	12,975	0,07	0,07	12,975	 	
10,901	13,095	0,08	0,08	13,095	 	
11,001	13,17	0,08	0,08	13,17	 	
11,101	13,275	0,08	0,08	13,275	 	
11,201	13,38	0,09	0,09	13,38	 	
11,301	13,455	0,095	0,095	13,455	 	
11,401	13,56	0,105	0,105	13,56	 	
11,501	13,665	0,11	0,11	13,665	 	
11,601	13,74	0,115	0,115	13,74	 	
